City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
505,sao vicente,-23.9631,-46.3919,28.48,26,87,0.83,BR,1701652409
506,grootfontein,-19.5667,18.1167,24.03,48,100,5.98,NA,1701652531
507,nikol'sk,53.7189,46.0712,1.45,94,100,7.27,RU,1701652533
508,lianyuan,27.6883,111.6642,9.37,86,99,0.66,CN,1701652534
509,champerico,14.3,-91.9167,27.52,73,6,1.18,GT,1701652535
510,sparti,37.0733,22.4297,15.53,93,74,0.72,GR,1701652537
511,itajuba,-22.4256,-45.4528,25.42,73,97,1.27,BR,1701652538
512,kincardine,56.0667,-3.7167,3.44,99,100,2.08,GB,1701652540
513,dabakala,8.3667,-4.4333,26.47,55,6,0.59,CI,1701652278
514,mountain home,43.133,-115.6912,4.68,97,75,3.09,US,1701652541
515,garissa,-0.4536,39.6401,25.8,81,17,3.57,KE,1701652542
516,conduaga,8.862,117.4893,28.82,67,14,0.71,PH,1701652544
517,nuku'alofa,-21.1333,-175.2,29.19,79,75,6.69,TO,1701652545
518,shreveport,32.5251,-93.7502,13.12,66,0,2.57,US,1701652546
519,al ghayzah,16.2079,52.176,23.79,68,9,2.7,YE,1701652548
520,apolinario saravia,-24.4328,-63.9954,16.57,77,100,9.18,AR,1701652549
521,jackson,42.4165,-122.8345,13.33,91,100,1.54,US,1701651836
522,santa ana,33.7456,-117.8678,19.6,64,40,2.57,US,1701652551
523,manokwari,-0.8667,134.0833,28.22,76,41,1.36,ID,1701652553
524,amga,60.8953,131.9608,-48.14,100,74,0.41,RU,1701652554
525,tyup,42.7276,78.3648,0.78,80,100,0.55,KG,1701652555
526,katsuren-haebaru,26.3369,127.8719,20.22,93,100,6.17,JP,1701652556
527,uige,-7.6087,15.0613,17.57,98,100,1.03,AO,1701652557
528,whakatane,-37.9585,176.9854,23.27,77,100,2.69,NZ,1701652558
529,nemuro,43.3236,145.575,3.51,66,68,1.69,JP,1701652559
530,ulladulla,-35.35,150.4667,24.87,60,53,4.07,AU,1701652561
531,laela,-8.5667,32.05,15.56,92,100,1.27,TZ,1701652564
532,torghay,49.6339,63.4981,-1.72,66,100,2.28,KZ,1701652567
533,nevel',56.0209,29.9284,-17.11,99,100,1.65,RU,1701652568
534,bikaner,28.0167,73.3,15.99,38,0,1.91,IN,1701652570
535,bonthe,7.5264,-12.505,26.46,85,100,2.29,SL,1701652571
536,baruun-urt,46.6806,113.2792,-17.97,95,10,2.13,MN,1701652572
537,tsiombe,-25.3,45.4833,21.21,70,2,5.84,MG,1701652573
538,shyryayeve,47.3805,30.1964,-1.13,75,100,3.57,UA,1701652574
539,kavieng,-2.5744,150.7967,28.77,74,97,3.05,PG,1701652575
540,leava,-14.3,-178.1667,28.7,77,100,6.92,WF,1701652577
541,ishimbay,53.4545,56.0415,-6.52,89,100,6.3,RU,1701652581
542,dryden,49.7833,-92.7503,-0.84,86,100,4.12,CA,1701652583
543,pandan,14.0453,124.1694,27.05,87,56,6.21,PH,1701652584
544,mount gambier,-37.8333,140.7667,28.6,21,64,4.43,AU,1701652585
545,broome,42.2506,-75.833,8.16,89,100,3.6,US,1701652587
546,san sebastian de la gomera,28.0916,-17.1133,20.77,82,75,0.51,ES,1701652588
547,priozersk,61.0393,30.1291,-6.11,85,100,1.55,RU,1701652589
548,angaur state,6.906,134.13,27.03,83,100,6.22,PW,1701652589
549,spanish springs,39.6491,-119.7074,11.04,59,100,2.57,US,1701652438
550,sumbe,-11.2061,13.8437,25.18,83,100,2.07,AO,1701652592
551,ntoum,0.3833,9.7833,24.87,95,95,0.91,GA,1701652593
552,prineville,44.2999,-120.8345,12.84,69,100,7.72,US,1701652595
553,kupang,-10.1667,123.5833,33.32,62,40,3.6,ID,1701652596
554,rundu,-17.9333,19.7667,21.97,59,78,2.12,NA,1701652597
555,lewistown,40.5992,-77.5714,11.87,96,0,0.0,US,1701652598
556,bhabhua,25.05,83.6167,19.26,57,15,0.47,IN,1701652599
557,bairnsdale,-37.8333,147.6167,24.47,62,82,0.89,AU,1701652601
558,newnham,-41.3833,147.1333,18.53,59,100,7.2,AU,1701652602
559,noshiro,40.2039,140.0242,1.46,88,93,1.67,JP,1701652603
560,nikki,9.9401,3.2108,22.4,15,14,1.2,BJ,1701652604
561,mana,5.6592,-53.7767,26.12,90,97,4.27,GF,1701652605
562,galliano,29.4422,-90.2992,18.0,88,0,0.0,US,1701652606
563,lodwar,3.1191,35.5973,28.41,43,3,5.74,KE,1701652608
564,luba,3.4568,8.5547,23.94,83,91,2.79,GQ,1701652609
565,oral,51.2333,51.3667,0.99,100,100,5.0,KZ,1701652611
566,fauske,67.2588,15.3918,-6.98,74,0,2.58,NO,1701652612
567,delmiro gouveia,-9.3886,-37.9992,26.41,72,55,4.65,BR,1701652613
568,laurentides,46.4334,-74.9826,-1.83,96,100,4.68,CA,1701652614
569,minas de marcona,-15.2119,-75.1103,14.67,81,33,6.32,PE,1701652616
570,mzimba,-11.9,33.6,17.31,89,22,1.9,MW,1701652617
571,vila velha,-20.3297,-40.2925,26.97,86,75,4.63,BR,1701652618
572,taroa,8.7058,171.2275,27.71,76,100,8.7,MH,1701652619
573,yeppoon,-23.1333,150.7333,31.88,64,12,4.49,AU,1701652620
574,santana,-0.0583,-51.1817,29.1,79,75,3.6,BR,1701652621
575,sorong,-0.8833,131.25,28.62,74,53,2.61,ID,1701652622
576,howrah,22.5892,88.3103,22.0,78,75,2.06,IN,1701652624
577,akrehamn,59.2667,5.1833,1.9,93,20,4.12,NO,1701652625
578,sitka,57.0531,-135.33,7.94,66,100,8.75,US,1701652614
579,castillos,-34.1667,-53.8333,16.13,48,100,6.05,UY,1701652628
580,saint-pierre,-21.3393,55.4781,20.87,64,17,5.14,RE,1701652629
581,kruisfontein,-34.0033,24.7314,12.71,89,100,2.0,ZA,1701652630
582,butembo,0.15,29.2833,13.68,98,90,0.98,CD,1701652631
583,isangel,-19.55,169.2667,29.06,74,75,3.09,VU,1701652633
584,titao,13.7667,-2.0667,25.37,18,100,4.26,BF,1701652634
